"id","calle.nombre","departamento.nombre","localidad_censal.nombre","nomenclatura","ubicacion.lat","ubicacion.lon","nMatchAPI","codigoAPI"
1,"VUELTA DE OBLIGADO","Comuna 13","Ciudad Autónoma de Buenos Aires","VUELTA DE OBLIGADO 1947, Comuna 13, Ciudad Autónoma de Buenos Aires",-34.5628926973393,-58.4544370653714,1,"Exito"
2,"AV BELGRANO","Comuna 1","Ciudad Autónoma de Buenos Aires","AV BELGRANO 955, Comuna 1, Ciudad Autónoma de Buenos Aires",-34.6129967016105,-58.3798273028947,1,"Exito"
3,"AV ALVAREZ THOMAS","Comuna 13","Ciudad Autónoma de Buenos Aires","AV ALVAREZ THOMAS 198, Comuna 13, Ciudad Autónoma de Buenos Aires",-34.5820397007128,-58.4470781389593,1,"Exito"
4,"11 DE SEPTIEMBRE DE 1888","Comuna 13","Ciudad Autónoma de Buenos Aires","11 DE SEPTIEMBRE DE 1888, Comuna 13, Ciudad Autónoma de Buenos Aires",-34.5362671616757,-58.4679965135676,1,"Exito"
5,"CORREA","Comuna 12","Ciudad Autónoma de Buenos Aires","CORREA 2442, Comuna 12, Ciudad Autónoma de Buenos Aires",-34.5439513467547,-58.4725346088103,1,"Exito"
6,"HUMBERTO 1","Comuna 1","Ciudad Autónoma de Buenos Aires","HUMBERTO 1 53, Comuna 1, Ciudad Autónoma de Buenos Aires",-34.6204557267683,-58.3666346052162,1,"Exito"
7,"MINONES","Comuna 13","Ciudad Autónoma de Buenos Aires","MINONES 2177, Comuna 13, Ciudad Autónoma de Buenos Aires",-34.5546591807925,-58.4461750662116,1,"Exito"
8,"ARIAS","Comuna 12","Ciudad Autónoma de Buenos Aires","ARIAS 3751, Comuna 12, Ciudad Autónoma de Buenos Aires",-34.5475706432839,-58.4862862735554,1,"Exito"
9,"JUANA MANSO","Comuna 1","Ciudad Autónoma de Buenos Aires","JUANA MANSO 999, Comuna 1, Ciudad Autónoma de Buenos Aires",-34.6094409094076,-58.3628214158021,1,"Exito"
10,"AV DORREGO","Comuna 14","Ciudad Autónoma de Buenos Aires","AV DORREGO 2161, Comuna 14, Ciudad Autónoma de Buenos Aires",-34.5779378171867,-58.4392170109815,1,"Exito"
11,"NICARAGUA","Comuna 14","Ciudad Autónoma de Buenos Aires","NICARAGUA 4677, Comuna 14, Ciudad Autónoma de Buenos Aires",-34.5875496729993,-58.425993040834,1,"Exito"
12,"AV RAUL SCALABRINI ORTIZ","Comuna 14","Ciudad Autónoma de Buenos Aires","AV RAUL SCALABRINI ORTIZ 3333, Comuna 14, Ciudad Autónoma de Buenos Aires",-34.5785755283984,-58.409056298494,1,"Exito"
13,"CAPDEVILA","Comuna 12","Ciudad Autónoma de Buenos Aires","CAPDEVILA 3448, Comuna 12, Ciudad Autónoma de Buenos Aires",-34.5649995102438,-58.4939462623458,1,"Exito"
14,"AV EDUARDO MADERO","Comuna 1","Ciudad Autónoma de Buenos Aires","AV EDUARDO MADERO 1020, Comuna 1, Ciudad Autónoma de Buenos Aires",-34.5959493417351,-58.3704735864049,1,"Exito"
15,"GUEVARA","Comuna 15","Ciudad Autónoma de Buenos Aires","GUEVARA 93, Comuna 15, Ciudad Autónoma de Buenos Aires",-34.5882792015558,-58.4469932873263,1,"Exito"
16,"VUELTA DE OBLIGADO","Comuna 14","Ciudad Autónoma de Buenos Aires","VUELTA DE OBLIGADO 1131, Comuna 14, Ciudad Autónoma de Buenos Aires",-34.5681000727352,-58.4468218339045,1,"Exito"
17,"HUMBOLT","Comuna 14","Ciudad Autónoma de Buenos Aires","HUMBOLT 1550, Comuna 14, Ciudad Autónoma de Buenos Aires",-34.5860227683004,-58.4367129525272,1,"Exito"
18,"AV DORREGO","Comuna 14","Ciudad Autónoma de Buenos Aires","AV DORREGO 1789, Comuna 14, Ciudad Autónoma de Buenos Aires",-34.5810266899738,-58.4426016067289,1,"Exito"
19,"COSTA RICA","Comuna 14","Ciudad Autónoma de Buenos Aires","COSTA RICA 5546, Comuna 14, Ciudad Autónoma de Buenos Aires",-34.5830835090961,-58.4341398909784,1,"Exito"
20,"JOSE A CABRERA","Comuna 14","Ciudad Autónoma de Buenos Aires","JOSE A CABRERA 5479, Comuna 14, Ciudad Autónoma de Buenos Aires",-34.5866810582753,-58.4368134945809,1,"Exito"
21,"AV MONROE","Comuna 13","Ciudad Autónoma de Buenos Aires","AV MONROE 860, Comuna 13, Ciudad Autónoma de Buenos Aires",-34.5487440399606,-58.4438251374374,1,"Exito"
22,"HUMBOLT","Comuna 14","Ciudad Autónoma de Buenos Aires","HUMBOLT 2495, Comuna 14, Ciudad Autónoma de Buenos Aires",-34.5779668831841,-58.4274706603499,1,"Exito"
23,"AV DEL LIBERTADOR","Comuna 13","Ciudad Autónoma de Buenos Aires","AV DEL LIBERTADOR 6680, Comuna 13, Ciudad Autónoma de Buenos Aires",-34.5506621489065,-58.4528696807033,1,"Exito"
24,"CASTILLO","Comuna 15","Ciudad Autónoma de Buenos Aires","CASTILLO 1366, Comuna 15, Ciudad Autónoma de Buenos Aires",-34.5885192735858,-58.4409446566605,1,"Exito"
25,"MINONES","Comuna 13","Ciudad Autónoma de Buenos Aires","MINONES 2177, Comuna 13, Ciudad Autónoma de Buenos Aires",-34.5546591807925,-58.4461750662116,1,"Exito"
26,"VERA","Comuna 15","Ciudad Autónoma de Buenos Aires","VERA 475, Comuna 15, Ciudad Autónoma de Buenos Aires",-34.5993015143572,-58.4374375710581,1,"Exito"
27,"JUANA AZURDUY","Comuna 13","Ciudad Autónoma de Buenos Aires","JUANA AZURDUY 2440, Comuna 13, Ciudad Autónoma de Buenos Aires",-34.5510874807803,-58.4671412782742,1,"Exito"
28,"AV HONDURAS","Comuna 14","Ciudad Autónoma de Buenos Aires","AV HONDURAS 5952, Comuna 14, Ciudad Autónoma de Buenos Aires",-34.5813271436331,-58.4399169400696,1,"Exito"
29,"CASTILLO","Comuna 15","Ciudad Autónoma de Buenos Aires","CASTILLO 1366, Comuna 15, Ciudad Autónoma de Buenos Aires",-34.5885192735858,-58.4409446566605,1,"Exito"
30,"25 DE MAYO","Comuna 1","Ciudad Autónoma de Buenos Aires","25 DE MAYO 577, Comuna 1, Ciudad Autónoma de Buenos Aires",-34.6010129655098,-58.3712445056275,1,"Exito"
31,"PARAGUAY","Comuna 1","Ciudad Autónoma de Buenos Aires","PARAGUAY 1132, Comuna 1, Ciudad Autónoma de Buenos Aires",-34.5979904915178,-58.3830743240471,1,"Exito"
32,NA,NA,NA,NA,NA,NA,0,"Exito"
33,"SUPERI","Comuna 13","Ciudad Autónoma de Buenos Aires","SUPERI 1456, Comuna 13, Ciudad Autónoma de Buenos Aires",-34.5738174827809,-58.4608106042625,1,"Exito"
34,"HUMBOLT","Comuna 14","Ciudad Autónoma de Buenos Aires","HUMBOLT 1969, Comuna 14, Ciudad Autónoma de Buenos Aires",-34.5827150370236,-58.4329122968847,1,"Exito"
35,NA,NA,NA,NA,NA,NA,0,"Exito"
36,"DR EMILIO RAVIGNANI","Comuna 14","Ciudad Autónoma de Buenos Aires","DR EMILIO RAVIGNANI 1470, Comuna 14, Ciudad Autónoma de Buenos Aires",-34.5837219276162,-58.4416410325419,1,"Exito"
37,"ARENALES","Comuna 2","Ciudad Autónoma de Buenos Aires","ARENALES 2189, Comuna 2, Ciudad Autónoma de Buenos Aires",-34.5943269812695,-58.3979786300146,1,"Exito"
38,"LAVALLE","Comuna 1","Ciudad Autónoma de Buenos Aires","LAVALLE 1206, Comuna 1, Ciudad Autónoma de Buenos Aires",-34.6026346448414,-58.3838730683057,1,"Exito"
39,"AV DEL LIBERTADOR","Comuna 13","Ciudad Autónoma de Buenos Aires","AV DEL LIBERTADOR 5990, Comuna 13, Ciudad Autónoma de Buenos Aires",-34.5567662811,-58.4476179713513,1,"Exito"
40,"VOLTAIRE","Comuna 14","Ciudad Autónoma de Buenos Aires","VOLTAIRE 5921, Comuna 14, Ciudad Autónoma de Buenos Aires",-34.5796753526057,-58.4374080570228,1,"Exito"
41,"CRISOLOGO LARRALDE","Comuna 12","Ciudad Autónoma de Buenos Aires","CRISOLOGO LARRALDE 2700, Comuna 12, Ciudad Autónoma de Buenos Aires",-34.5505279623846,-58.4710059574572,1,"Exito"
42,"ESMERALDA","Comuna 1","Ciudad Autónoma de Buenos Aires","ESMERALDA 1330, Comuna 1, Ciudad Autónoma de Buenos Aires",-34.5919712158303,-58.3783614776395,1,"Exito"
